Window_Index,Min_Probability,Max_Probability,Avg_Probability
202,0.0,0.4,0.05333333333333334
203,0.0,0.4,0.05333333333333334
204,0.0,0.4,0.05333333333333334
205,0.0,0.4,0.05333333333333334
206,0.0,0.4,0.05333333333333334
207,0.0,0.4,0.05333333333333334
208,0.0,0.4,0.04
209,0.0,0.4,0.04
210,0.0,0.4,0.04
211,0.0,0.4,0.04
212,0.0,0.4,0.04
213,0.0,0.4,0.04
214,0.0,0.4,0.04
215,0.0,0.4,0.04
216,0.0,0.4,0.04
217,0.0,0.6,0.08
218,0.0,0.6,0.08
219,0.0,0.4,0.04
220,0.0,0.4,0.04
221,0.0,0.4,0.04
222,0.0,0.0,0.0
223,0.0,0.0,0.0
224,0.0,0.0,0.0
225,0.0,0.0,0.0
226,0.0,0.0,0.0
227,0.0,0.0,0.0
228,0.0,0.0,0.0
229,0.0,0.0,0.0
230,0.0,0.0,0.0
231,0.0,0.0,0.0
232,0.0,0.0,0.0
233,0.0,0.0,0.0
234,0.0,0.0,0.0
235,0.0,0.0,0.0
236,0.0,0.0,0.0
237,0.0,0.0,0.0
238,0.0,0.0,0.0
239,0.0,0.0,0.0
240,0.0,0.0,0.0
241,0.0,0.0,0.0
242,0.0,3.5999999999999996,0.24
243,0.0,0.0,0.0
244,0.0,0.0,0.0
245,0.0,0.0,0.0
246,0.0,1.6,0.10666666666666667
247,0.0,5.2,0.45333333333333325
248,0.0,5.0,0.45333333333333337
249,0.0,10.4,1.0533333333333335
250,0.0,10.0,0.76
251,0.0,10.6,0.8
252,0.0,10.6,0.7733333333333332
253,0.0,12.8,0.9333333333333335
254,0.0,13.4,0.9733333333333335
255,0.0,13.4,1.0000000000000002
256,0.0,10.6,1.0133333333333332
257,0.0,10.2,1.04
258,0.0,5.0,0.4
259,0.0,7.8,0.8666666666666666
260,0.0,10.2,1.0533333333333335
261,0.0,10.4,1.093333333333333
262,0.0,10.4,1.08
263,0.0,10.2,1.0666666666666667
264,0.0,5.4,0.4266666666666667
265,0.0,5.2,0.41333333333333333
266,0.0,11.799999999999999,1.2266666666666668
